アカホシゴマダラ,アカボシゴマダラ
アジアホソバスズメ（セトウチホソバスズメ）,アジアホソバスズメ
アブラハヤ類,アブラハヤ
イトヨ（生態型不明）,イトヨ
オガサワライトトンポ,オガサワライトトンボ
カエデノヘリグロハナカミキリ（クロスジハナカミキリ）,カエデノヘリグロハナカミキリ
カタビロクサピウンカ,カタビロクサビウンカ
カジカ（生態型不明）,カジカ
カワアナゴ類,カワアナゴ
カワムツＡ型,ヌマムツ
カワムツＢ型,カワムツ
コヨツスジハナカミキリ（ヤマトヨツスジハナカミキリ）,コヨツスジハナカミキリ
シコクトケオトンボ,シコクトゲオトンボ
シマドジョウ類,シマドジョウ
チチブ類,チチブ
ツマグロスケパ,ツマグロスケバ
ハラピロハンミョウ,ハラビロハンミョウ
ヒケナカトピイロサシカメ,ヒゲナガトビイロサシガメ
ペレーキスジジカバチ,ハエトリバチ
ミカワキョトウ,ミカワキヨトウ
ムネホソシロカミキリ,ムネホシシロカミキリ
モモグロアトキリダイミョウゴミムシ,モモグロダイミョウアトキリゴミムシ
ヤエヤマウスバカケロウ,ヤエヤマウスバカゲロウ
ヤマトアミメカワゲラモドキ,ヤマトヒメカワゲラ
ヨコスジョトウ,ヨコスジヨトウ
ヨシノシマコヤガ,ヨシノクルマコヤガ
ヨナクニサン,ヨナグニサン
リュウガドウトゲトピムシ,リュウガドウトゲトビムシ
ロニノイナガタマムシ,ロニノナガタマムシ
ワクセハリアリ,ワタセハリアリ